dialogue_id,speaker,position,emotion,text,category
welcome_1,boss,center,hopeful,"드디어 내 치킨집을 오픈했다! 최고의 치킨집을 만들어보자!",welcome
welcome_2,boss,center,confident,"오른쪽 패널에서 경영 액션을 선택하고, 왼쪽에서 매장 상태를 확인할 수 있다.",tutorial
first_customer_1,customer,center,happy,"안녕하세요! 새로 오픈한 치킨집이네요. 치킨 하나 주세요!",first_customer
first_customer_2,boss,center,nervous,"첫 손님이다! 잘 해보자. 맛있는 치킨 만들어드릴게요!",first_customer
first_customer_3,boss,center,determined,"자, 이제 본격적으로 시작해보자! 성공적인 치킨집 사장이 되어보겠어!",first_customer
low_money_warning,boss,center,worried,"자금이 부족해지고 있다... 가격 인상이나 홍보를 고려해봐야겠어.",warning
high_reputation_celebration,boss,center,happy,"와! 우리 매장 평판이 정말 좋아졌네! 손님들이 많이 찾아오고 있어!",celebration
game_over_bankruptcy,boss,center,sad,"아쉽게도 사업이 어려워졌다... 하지만 포기하지 말자! 다시 도전해보자!",game_over
customer_visit_happy,customer,center,happy,"안녕하세요! 치킨 주문하러 왔어요!",customer_interaction
customer_response_boss,boss,center,happy,"손님이 왔다! 맛있는 치킨을 준비해주자.",customer_interaction
price_increase_concern,boss,center,worried,"치킨 가격을 인상했다. 고객 반응을 지켜봐야겠어.",action_feedback
inventory_order_relief,boss,center,happy,"재료를 주문했다! 이제 더 많은 치킨을 만들 수 있겠어.",action_feedback
staff_rest_satisfaction,boss,center,happy,"직원들에게 휴식을 줬다. 더 열심히 일할 수 있을 거야!",action_feedback
high_stress_concern,boss,center,angry,"스트레스가 너무 심하다... 좀 쉬어야겠어.",warning
facility_upgrade_pride,boss,center,proud,"시설을 업그레이드했다! 더 좋은 환경에서 치킨을 만들 수 있겠어.",action_feedback
busy_day_customer,customer,left,excited,"저기요! 치킨 하나 주세요!",busy_scenario
busy_day_boss,boss,center,energetic,"바쁜 하루네. 하지만 이런 게 좋지!",busy_scenario
lonely_day_reflection,boss,center,melancholy,"오늘은 손님이 별로 없네... 뭔가 대책이 필요할까?",quiet_scenario
success_moment_celebration,boss,center,ecstatic,"와! 치킨집이 점점 잘 되가고 있어! 이 기세로 계속 가보자!",celebration 